,Team,Ranking,Num_Commits,Num_5_Stars,Num_4_Stars,Num_3_Stars,Avg,Points
0,Memphis,1,7,2,5,0,97.61,70.10
1,Kentucky,2,5,3,2,0,98.32,69.87
2,Duke,3,4,2,2,0,99.27,69.30
3,Oregon,4,7,2,3,2,95.12,68.96
4,Villanova,5,5,2,2,1,95.61,68.56
5,Arizona,6,4,2,1,1,96.93,67.76
6,USC,7,6,2,2,2,94.33,67.67
7,Florida,8,5,2,1,2,94.26,67.53
8,North Carolina,9,4,2,1,1,96.73,67.19
9,Georgia,10,7,1,4,2,94.31,67.14
10,Washington,11,4,2,1,1,95.97,67.12
11,Louisville,12,6,1,4,1,95.08,66.94
12,Gonzaga,13,6,0,5,1,95.72,66.64
13,Ohio State,14,4,0,3,1,95.48,65.25
14,Kansas,15,5,0,5,0,95.66,64.78
15,Texas Tech,16,7,0,3,3,90.12,62.66
16,Texas,17,3,0,3,0,98.03,62.45
17,Connecticut,18,4,0,4,0,95.38,62.14
18,Florida State,19,6,1,1,4,91.29,61.87
19,Auburn,20,7,0,3,4,90.95,60.64
20,Alabama,21,5,0,3,2,93.14,60.35
21,West Virginia,22,5,0,2,3,91.24,60.08
22,Virginia,23,4,0,2,2,92.33,59.53
23,Oklahoma State,24,5,0,4,1,92.64,58.63
24,Oklahoma,25,7,0,3,4,89.54,58.58
25,Xavier,26,5,0,4,1,93.02,58.54
26,Michigan State,27,3,0,2,1,95.02,58.54
27,Maryland,28,5,0,2,3,91.59,57.62
28,TCU,29,5,0,3,2,91.51,57.59
29,Miami,30,3,0,2,1,94.49,57.18
30,Tennessee,31,4,1,0,3,92.19,56.90
31,LSU,32,4,1,1,2,91.22,56.43
32,Syracuse,33,5,0,2,3,90.74,55.91
33,DePaul,34,4,0,2,2,91.13,55.08
34,Texas A&M,35,7,0,3,4,89.71,53.84
35,NC State,36,3,0,2,1,92.46,53.56
36,Minnesota,37,4,0,2,2,90.33,53.37
37,Harvard,38,5,0,2,3,88.49,53.19
38,Arizona State,39,6,0,1,5,89.29,52.42
39,Missouri,40,3,0,1,2,92.22,51.67
40,Wichita State,41,6,0,2,4,89.13,51.18
41,Ole Miss,42,6,0,1,5,89.50,50.93
42,Clemson,43,3,0,2,1,91.65,50.41
43,Cincinnati,44,3,0,1,2,91.42,50.04
44,South Carolina,45,4,0,2,2,88.72,49.50
45,Utah,46,4,0,1,3,88.63,48.79
46,Virginia Tech,47,4,0,1,3,88.33,48.77
47,Massachusetts,48,4,0,1,2,87.00,47.86
48,Pittsburgh,49,4,0,1,3,88.43,47.70
49,Vanderbilt,50,4,0,1,3,89.01,47.65
50,VCU,51,3,0,1,2,90.31,47.62
51,Nebraska,52,6,0,0,6,87.87,47.32
52,Indiana,53,2,0,2,0,95.74,46.98
53,Kansas State,54,5,0,1,4,86.80,46.95
54,Georgetown,55,4,0,1,3,88.87,46.91
55,Iowa State,56,4,0,0,4,89.19,46.55
56,Northwestern,57,3,0,1,2,90.12,46.50
57,Purdue,58,3,0,1,2,90.43,46.46
58,Stanford,59,3,0,1,2,89.96,46.31
59,Mississippi State,60,3,0,1,2,89.83,45.79
60,Loyola Maryland,61,2,0,2,0,94.82,45.25
61,Houston,62,3,0,1,2,89.65,45.19
62,Wake Forest,63,4,0,1,3,87.15,45.14
63,Utah State,64,5,0,0,5,87.05,44.50
64,Michigan,65,2,0,2,0,94.30,43.78
65,California,66,4,0,0,3,86.43,43.36
66,Boston College,67,4,0,0,4,87.54,41.97
67,Illinois,68,2,0,1,1,92.59,41.79
68,SMU,69,5,0,0,5,86.61,41.57
69,Fresno State,70,4,0,0,4,87.00,41.20
70,Oregon State,71,6,0,0,6,85.56,41.17
71,Charlotte,72,4,0,0,4,87.11,41.09
72,Iowa,73,2,0,1,1,92.18,40.84
73,Western Kentucky,74,3,0,0,3,88.07,40.76
74,Marquette,75,2,0,1,1,91.96,40.58
75,UTSA,76,4,0,0,4,86.33,40.33
76,UCLA,77,2,0,1,1,91.85,40.30
77,East Carolina,78,8,0,0,4,82.48,39.85
78,Butler,79,2,0,1,1,91.58,39.69
79,Colorado State,80,4,0,0,4,86.64,39.49
80,Saint Louis,81,3,0,0,3,87.17,38.80
81,Rhode Island,82,3,0,0,3,87.31,38.63
82,Loyola (Chi),83,3,0,0,3,87.20,38.39
83,Penn State,84,3,0,0,3,86.67,38.28
84,Long Beach State,85,2,0,0,2,91.24,38.26
85,La Salle,86,3,0,0,3,87.03,38.15
86,UNC Greensboro,87,3,0,0,3,87.05,38.09
87,UCF,88,4,0,0,4,85.70,38.00
88,Tulsa,89,3,0,0,3,86.61,36.91
89,Middle Tennessee State,90,3,0,0,3,86.41,36.62
90,New Mexico,91,2,0,0,2,90.11,36.39
91,Florida Atlantic,92,3,0,0,3,86.23,36.07
92,Rice,93,3,0,0,3,86.09,35.66
93,Marshall,94,3,0,0,3,86.09,35.66
94,Louisiana Tech,95,3,0,0,3,85.67,35.18
95,Ohio,96,3,0,0,2,84.50,34.95
96,Temple,97,2,0,1,1,88.96,34.77
97,Missouri State,98,2,0,0,2,89.15,34.64
98,Washington State,99,3,0,0,2,84.40,34.57
99,Tulane,100,3,0,0,3,84.81,33.79
100,Seton Hall,101,2,0,0,2,88.41,33.47
101,Miami (OH),102,3,0,0,2,83.66,32.71
102,Santa Clara,103,2,0,0,2,88.09,32.59
103,Appalachian State,104,2,0,0,2,87.99,32.40
104,Creighton,105,2,0,0,2,87.73,32.12
105,Georgia State,106,2,0,0,2,87.58,31.77
106,Drexel,107,2,0,0,2,87.39,31.43
107,Coastal Carolina,108,2,0,0,2,86.94,30.69
108,San Diego,109,2,0,0,2,86.58,30.15
109,Pacific,110,2,0,0,2,86.65,30.05
110,USF,111,2,0,0,2,86.65,30.05
111,Wyoming,112,2,0,0,2,86.64,30.03
112,South Alabama,113,2,0,0,2,86.50,30.01
113,Indiana State,114,2,0,0,2,86.50,29.81
114,Brigham Young,115,2,0,0,2,86.40,29.62
115,Ball State,116,2,0,0,2,86.00,28.81
116,Toledo,117,2,0,0,2,85.64,28.29
117,UAB,118,2,0,0,2,85.50,28.01
118,Providence,119,1,0,1,0,97.44,27.44
119,Georgia Tech,120,2,0,0,2,84.28,26.01
120,Yale,121,2,0,0,2,84.19,25.72
121,Akron,122,2,0,0,1,83.50,25.20
122,James Madison,123,2,0,0,1,83.54,25.07
123,Rutgers,124,1,0,1,0,92.33,22.33
124,Davidson,125,1,0,1,0,92.29,22.29
125,Baylor,126,1,0,1,0,92.23,22.23
126,Colorado,127,1,0,0,1,91.60,21.60
127,Gardner-Webb,128,1,0,0,1,91.07,21.07
128,George Mason,129,2,0,0,1,81.28,20.56
129,Air Force,130,1,0,0,1,90.04,20.04
130,New Mexico State,131,1,0,0,1,89.48,19.48
131,Wisconsin,132,1,0,0,1,89.28,19.28
132,Pennsylvania,133,1,0,0,1,88.46,18.46
133,Eastern Kentucky,134,1,0,0,1,88.37,18.37
134,Nevada,135,1,0,0,1,88.00,18.00
135,UNLV,136,1,0,0,1,88.00,18.00
136,Cal State Fullerton,137,1,0,0,1,88.00,18.00
137,Denver,138,1,0,0,1,88.00,18.00
138,UC Santa Barbara,139,1,0,0,1,88.00,18.00
139,Buffalo,140,1,0,0,1,88.00,18.00
140,Pepperdine,141,1,0,0,1,87.75,17.75
141,Duquesne,142,1,0,0,1,87.61,17.61
142,St. Bonaventure,143,1,0,0,1,87.43,17.43
143,San Diego State,144,1,0,0,1,87.43,17.43
144,Louisiana,146,1,0,0,1,87.02,17.02
145,Vermont,147,1,0,0,1,87.00,17.00
146,FIU,148,1,0,0,1,87.00,17.00
147,Kent State,149,1,0,0,1,87.00,17.00
148,East Tennessee State,150,1,0,0,1,86.89,16.89
149,Dayton,151,1,0,0,1,86.89,16.89
150,North Texas,152,1,0,0,1,86.78,16.78
151,George Washington,153,1,0,0,1,86.78,16.78
152,Liberty,154,1,0,0,1,86.78,16.78
153,Stephen F. Austin,155,1,0,0,1,86.78,16.78
154,Wisconsin-Green Bay,156,1,0,0,1,86.78,16.78
155,Arkansas,157,1,0,0,1,86.78,16.78
156,Fordham,158,1,0,0,1,86.78,16.78
157,St. John's,159,1,0,0,1,86.19,16.19
158,Troy,160,1,0,0,1,86.00,16.00
159,San Jose State,161,1,0,0,1,86.00,16.00
160,Binghamton,162,1,0,0,1,86.00,16.00
161,South Carolina Upstate,163,1,0,0,1,86.00,16.00
162,Rider,164,1,0,0,1,86.00,16.00
163,North Dakota State,165,1,0,0,1,86.00,16.00
164,Albany,166,1,0,0,1,86.00,16.00
165,UTEP,167,1,0,0,1,85.78,15.78
166,Central Michigan,168,1,0,0,1,85.59,15.59
167,Boise State,169,1,0,0,1,85.56,15.56
168,Brown,170,1,0,0,1,85.28,15.28
169,Northeastern,171,1,0,0,1,85.28,15.28
170,North Dakota,173,1,0,0,1,84.00,14.00
171,UC Irvine,174,1,0,0,1,83.33,13.33
172,Quinnipiac,175,1,0,0,1,83.31,13.31
173,Princeton,176,1,0,0,1,82.54,12.54
174,Kennesaw State,177,1,0,0,0,80.00,10.00
175,Northern Illinois,178,1,0,0,0,79.00,9.00
176,Western Michigan,179,1,0,0,0,79.00,9.00
177,Bowling Green,180,1,0,0,0,79.00,9.00
178,Towson,181,1,0,0,0,70.63,0.63
