"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester United (C)",38,25,8,5,74,34,"+40",83,"Qualification for the Champions League group stage"
"1992–93",2,"Arsenal",38,23,9,6,85,42,"+43",78,"Qualification for the Champions League group stage"
"1992–93",3,"Newcastle United",38,21,6,11,63,48,"+15",69,"Qualification for the Champions League third qualifying round"
"1992–93",4,"Chelsea",38,19,10,9,68,38,"+30",67,"Qualification for the Champions League third qualifying round"
"1992–93",5,"Liverpool",38,18,10,10,61,41,"+20",64,"Qualification for the UEFA Cup first round[a]"
"1992–93",6,"Blackburn Rovers",38,16,12,10,52,43,"+9",60,"Qualification for the UEFA Cup first round[a]"
"1992–93",7,"Everton",38,17,8,13,48,49,"-1",59,""
"1992–93",8,"Southampton",38,13,13,12,43,46,"-3",52,"Qualification for the UEFA Cup first round[b]"
"1992–93",9,"Manchester City",38,15,6,17,47,54,"-7",51,"Qualification for the UEFA Cup qualifying round[c]"
"1992–93",10,"Tottenham Hotspur",38,14,8,16,51,62,"-11",50,""
"1992–93",11,"Middlesbrough",38,13,10,15,48,44,"+4",49,""
"1992–93",12,"Charlton Athletic",38,14,7,17,45,56,"-11",49,""
"1992–93",13,"Birmingham City",38,13,9,16,41,49,"-8",48,""
"1992–93",14,"Fulham",38,13,9,16,41,50,"-9",48,""
"1992–93",15,"Leeds United",38,14,5,19,58,57,"+1",47,""
"1992–93",16,"Aston Villa",38,12,9,17,42,47,"-5",45,""
"1992–93",17,"Bolton Wanderers",38,10,14,14,41,51,"-10",44,""
"1992–93",18,"West Ham United (R)",38,10,12,16,42,59,"-17",42,"Relegation to Football League First Division"
"1992–93",19,"West Bromwich Albion (R)",38,6,8,24,29,65,"-36",26,"Relegation to Football League First Division"
"1992–93",20,"Sunderland (R)",38,4,7,27,21,65,"-44",19,"Relegation to Football League First Division"
