Apps,Team,Wins,Losses,Win %,Season(s),League
40,New York Yankees,27,13,.675,"1921, 1922, 1923, 1926, 1927, 1928, 1932, 1936, 1937, 1938, 1939, 1941, 1942, 1943, 1947, 1949, 1950, 1951, 1952, 1953, 1955, 1956, 1957, 1958, 1960, 1961, 1962, 1963, 1964, 1976, 1977, 1978, 1981, 1996, 1998, 1999, 2000, 2001, 2003, 2009",MLB
20,"New York/San Francisco GiantsNY until 1957, SF 1958-present",8,12,.400,"1905, 1911, 1912, 1913, 1917, 1921, 1922, 1923, 1924, 1933, 1936, 1937, 1951, 1954, 1962, 1989, 2002, 2010, 2012, 2014",MLB
20,"Brooklyn/Los Angeles DodgersBKN until 1957, LA 1958-present",6,14,.300,"1916, 1920, 1941, 1947, 1949, 1952, 1953, 1955, 1956, 1959, 1963, 1965, 1966, 1974, 1977, 1978, 1981, 1988, 2017, 2018",MLB
19,St. Louis Cardinals,11,8,.579,"1926, 1928, 1930, 1931, 1934, 1942, 1943, 1944, 1946, 1964, 1967, 1968, 1982, 1985, 1987, 2004, 2006, 2011, 2013",MLB
14,"Philadelphia/Kansas City/Oakland AthleticsPHI until 1954, KC 1955-1967, OAK 1968-present",9,5,.643,"1905, 1910, 1911, 1913, 1914, 1929, 1930, 1931, 1972, 1973, 1974, 1988, 1989, 1990",MLB
13,Boston Red Sox,9,4,.692,"1903, 1912, 1915, 1916, 1918, 1946, 1967, 1975, 1986, 2004, 2007, 2013, 2018",MLB
11,Detroit Tigers,4,7,.364,"1907, 1908, 1909, 1934, 1935, 1940, 1945, 1968, 1984, 2006, 2012",MLB
11,Chicago Cubs,3,8,.273,"1906, 1907, 1908, 1910, 1918, 1929, 1932, 1935, 1938, 1945, 2016",MLB
9,Cincinnati Reds,5,4,.556,"1919, 1939, 1940, 1961, 1970, 1972, 1975, 1976, 1990",MLB
9,"Boston/Milwaukee/Atlanta BravesBOS until 1952, MIL 1953-1965, ATL 1966-present",3,6,.333,"1914, 1948, 1957, 1958, 1991, 1992, 1995, 1996, 1999",MLB
7,Pittsburgh Pirates,5,2,.714,"1903, 1909, 1925, 1927, 1960, 1971, 1979",MLB
7,"St. Louis Browns/Baltimore OriolesSTL until 1953, BAL 1954-present",3,4,.429,"1944, 1966, 1969, 1970, 1971, 1979, 1983",MLB
7,Philadelphia Phillies,2,5,.286,"1915, 1950, 1980, 1983, 1993, 2008, 2009",MLB
6,"Washington Senators/Minnesota TwinsWSH until 1960, MIN 1961-present",3,3,.500,"1924, 1925, 1933, 1965, 1987, 1991",MLB
6,Cleveland Indians,2,4,.333,"1920, 1948, 1954, 1995, 1997, 2016",MLB
5,Chicago White Sox,3,2,.600,"1906, 1917, 1919, 1959, 2005",MLB
5,New York Mets,2,3,.400,"1969, 1973, 1986, 2000, 2015",MLB
4,Kansas City Royals,2,2,.500,"1980, 1985, 2014, 2015",MLB
3,Houston Astros,1,2,.333,"2005, 2017, 2019",MLB
2,Toronto Blue Jays,2,0,1.000,"1992, 1993",MLB
2,Miami Marlins,2,0,1.000,"1997, 2003",MLB
2,San Diego Padres,0,2,.000,"1984, 1998",MLB
2,"Washington Senators/Texas Rangers WSH until 1971, TEX 1972-present",0,2,.000,"2010, 2011",MLB
1,Arizona Diamondbacks,1,0,1.000,2001,MLB
1,Los Angeles Angels,1,0,1.000,2002,MLB
1,"Montreal Expos/Washington Nationals MTL until 2004, WSH 2005-present",1,0,1.000,2019,MLB
1,"Seattle Pilots/Milwaukee Brewers SEA 1969, MIL 1970-present",0,1,.000,1982,MLB
1,Colorado Rockies,0,1,.000,2007,MLB
1,Tampa Bay Rays,0,1,.000,2008,MLB
0,Seattle Mariners,0,0,—,,MLB
