Season,Champion,Selecting Organization,League
2019,LSU,CFP,NCAAF
2018,Clemson,CFP,NCAAF
2017,Alabama,CFP,NCAAF
2016,Clemson,CFP,NCAAF
2015,Alabama,CFP,NCAAF
2014,Ohio State,CFP,NCAAF
2013,Florida State,BCS,NCAAF
2012,Alabama,BCS,NCAAF
2011,Alabama,BCS,NCAAF
2010,Auburn,BCS,NCAAF
2009,Alabama,BCS,NCAAF
2008,Florida,BCS,NCAAF
2007,LSU,BCS,NCAAF
2006,Florida,BCS,NCAAF
2005,Texas,BCS,NCAAF
2004,Southern California*,BCS,NCAAF
2003,"LSU, Southern California","BCS, AP, FWAA",NCAAF
2002,Ohio State,BCS,NCAAF
2001,Miami (Fla.),BCS,NCAAF
2000,Oklahoma,BCS,NCAAF
1999,Florida State,BCS,NCAAF
1998,Tennessee,BCS,NCAAF
1997,"Michigan, Nebraska","AP, FWAA, NFF, USA/ESPN",NCAAF
1996,Florida,"AP, FWAA, NFF,USA/CNN",NCAAF
1995,Nebraska,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1994,Nebraska,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1993,Florida St.,"AP, FWAA,NFF, USA/CNN, UPI",NCAAF
1992,Alabama,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1991,"Washington, Miami (Fla.)","FWAA, NFF, USA/CNN, UPI,AP",NCAAF
1990,"Colorado, Georgia Tech","FWAA, NFF, USA/CNN, AP, UPI",NCAAF
1989,Miami (Fla.),"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1988,Notre Dame,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1987,Miami (Fla.),"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1986,Penn St.,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1985,Oklahoma,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1984,Brigham Young,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1983,Miami (Fla.),"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1982,Penn St.,"AP, FWAA, NFF, USA/CNN, UPI",NCAAF
1981,Clemson,"AP, FWAA, NFF, UPI",NCAAF
1980,Georgia,"AP, FWAA, NFF, UPI",NCAAF
1979,Alabama,"AP, FWAA, NFF, UPI",NCAAF
1978,"Alabama, Southern California","AP, FWAA, NFF, UPI",NCAAF
1977,Notre Dame,"AP, FWAA, NFF, UPI",NCAAF
1976,Pittsburgh,"AP, FWAA, NFF, UPI",NCAAF
1975,Oklahoma,"AP, FWAA, NFF, UPI",NCAAF
1974,"Southern California, Oklahoma","FWAA, NFF, UPI, AP",NCAAF
1973,"Notre Dame, Alabama","AP, FWAA, NFF, UPI",NCAAF
1972,Southern California,"AP, FWAA, NFF, UPI",NCAAF
1971,Nebraska,"AP, FWAA, NFF, UPI",NCAAF
1970,"Nebraska, Texas, Ohio St.","AP, FWAA, NFF, UPI, NFF",NCAAF
1969,Texas,"AP, FWAA, NFF, UPI",NCAAF
1968,Ohio St.,"AP, FWAA, NFF, UPI",NCAAF
1967,Southern California,"AP, FWAA, NFF, UPI",NCAAF
1966,"Notre Dame, Michigan St.","AP, FWAA, NFF, UPI, NFF",NCAAF
1965,"Michigan St., Alabama","FWAA, NFF, UPI, AP",NCAAF
1964,"Alabama, Arkansas, Notre Dame","AP, UPI, FWAA, NFF",NCAAF
1963,Texas,"AP, FWAA, NFF, UPI",NCAAF
1962,Southern California,"AP, FWAA, NFF, UPI",NCAAF
1961,"Alabama, Ohio St.","AP, NFF, UPI, FWAA",NCAAF
1960,"Minnesota, Mississippi","AP, NFF, UPI, FWAA",NCAAF
1959,Syracuse,"AP, FWAA, NFF, UPI",NCAAF
1958,"LSU, Iowa","AP, UPI, FWAA",NCAAF
1957,"Ohio St., Auburn","FWAA, UPI, AP",NCAAF
1956,Oklahoma,"AP, FWAA, UPI",NCAAF
1955,Oklahoma,"AP, FWAA, UPI",NCAAF
1954,"UCLA, Ohio St.","FWAA, UPI, AP",NCAAF
1953,Maryland,"AP, UPI",NCAAF
1952,Michigan St.,"AP, UPI",NCAAF
1951,Tennessee,"AP, UPI",NCAAF
1950,Oklahoma,"AP, UPI",NCAAF
1949,Notre Dame,AP,NCAAF
1948,Michigan,AP,NCAAF
1947,Notre Dame,AP,NCAAF
1946,Notre Dame,AP,NCAAF
1945,Army,AP,NCAAF
1944,Army,AP,NCAAF
1943,Notre Dame,AP,NCAAF
1942,Ohio St.,AP,NCAAF
1941,Minnesota,AP,NCAAF
1940,Minnesota,AP,NCAAF
1939,Texas A&M,AP,NCAAF
1938,Texas Christian,AP,NCAAF
1937,Pittsburgh,AP,NCAAF
1936,Minnesota,AP,NCAAF
1935,Minnesota,"CFRA, HAF, NCF",NCAAF
1934,Minnesota,"CFRA, HAF, NCF",NCAAF
1933,Michigan,"CFRA, HAF, NCF",NCAAF
1932,Southern California,"CFRA, HAF, NCF",NCAAF
1931,Southern California,"CFRA, HAF, NCF",NCAAF
1930,"Alabama, Notre Dame","CFRA, HAF, NCF",NCAAF
1929,Notre Dame,"CFRA, HAF, NCF",NCAAF
1928,Georgia Tech.,"CFRA, HAF, NCF",NCAAF
1927,"Illinois, Yale","HAF, NCF, CFRA",NCAAF
1926,"Alabama, Stanford","CFRA, HAF, NCF, HAF",NCAAF
1925,Alabama,"CFRA, HAF, NCF",NCAAF
1924,Notre Dame,"CFRA, HAF, NCF",NCAAF
1923,"Illinois, Michigan","CFRA, HAF, NCF, NCF",NCAAF
1922,"California, Cornell, Princeton","NCF, HAF, CFRA, NCF",NCAAF
1921,"California, Cornell","CFRA, NCF, HAF",NCAAF
1920,California,"CFRA, HAF, NCF",NCAAF
1919,"Harvard, Illinois, Notre Dame, Texas A&M","CFRA, HAF, NCF, CFRA, NCF, NCF",NCAAF
1918,"Michigan, Pittsburgh","NCF, HAF, NCF",NCAAF
1917,Georgia Tech.,"HAF, NCF",NCAAF
1916,Pittsburgh,"HAF, NCF",NCAAF
1915,Cornell,"HAF, NCF",NCAAF
1914,Army,"HAF, NCF",NCAAF
1913,Harvard,"HAF, NCF",NCAAF
1912,"Harvard, Penn St.","HAF, NCF, NCF",NCAAF
1911,"Penn St., Princeton","NCF, HAF, NCF",NCAAF
1910,"Harvard, Pittsburgh","HAF, NCF, NCF",NCAAF
1909,Yale,"HAF, NCF",NCAAF
1908,"LSU, Pennsylvania","NCF, HAF, NCF",NCAAF
1907,Yale,"HAF, NCF",NCAAF
1906,Princeton,"HAF, NCF",NCAAF
1905,Chicago,"HAF, NCF",NCAAF
1904,"Michigan, Pennsylvania","NCF, HAF, NCF",NCAAF
1903,"Michigan, Princeton","NCF, HAF, NCF",NCAAF
1902,Michigan,"HAF, NCF",NCAAF
1901,Michigan,"HAF, NCF",NCAAF
1900,Yale,"HAF, NCF",NCAAF
1899,Harvard,"HAF, NCF",NCAAF
1898,Harvard,"HAF, NCF",NCAAF
1897,Pennsylvania,"HAF, NCF",NCAAF
1896,"Lafayette, Princeton","NCF, HAF, NCF",NCAAF
1895,Pennsylvania,"HAF, NCF",NCAAF
1894,Yale,"HAF, NCF",NCAAF
1893,Princeton,"HAF, NCF",NCAAF
1892,Yale,"HAF, NCF",NCAAF
1891,Yale,"HAF, NCF",NCAAF
1890,Harvard,"HAF, NCF",NCAAF
1889,Princeton,"HAF, NCF",NCAAF
1888,Yale,"HAF, NCF",NCAAF
1887,Yale,"HAF, NCF",NCAAF
1886,Yale,"HAF, NCF",NCAAF
1885,Princeton,"HAF, NCF",NCAAF
1884,Yale,"HAF, NCF",NCAAF
1883,Yale,"HAF, NCF",NCAAF
1882,Yale,NCF,NCAAF
1881,Yale,NCF,NCAAF
1880,"Princeton, Yale","NCF, NCF",NCAAF
1879,Princeton,NCF,NCAAF
1878,Princeton,NCF,NCAAF
1877,Yale,NCF,NCAAF
1876,Yale,NCF,NCAAF
1875,Harvard,NCF,NCAAF
1874,Yale,NCF,NCAAF
1873,Princeton,NCF,NCAAF
1872,Princeton,NCF,NCAAF
1871,None selected,NCF,NCAAF
1870,Princeton,NCF,NCAAF
1869,"Princeton, Rutgers",NCF,NCAAF
