Team,Wins,Losses,Winningpercentage,Appearances,Seasons (champions in bold),Years sincelast win,Years sincelast app.,League
Boston/New England PatriotsA,6,5,.545,11,"1985A, 1996A, 2001A, 2003A, 2004A, 2007A, 2011A, 2014A, 2016A, 2017A, 2018A",0,0,NFL
Pittsburgh SteelersA[n 6],6,2,.750,8,"1974A, 1975A, 1978A, 1979A, 1995A, 2005A, 2008A, 2010A",10,8,NFL
Dallas CowboysN,5,3,.625,8,"1970N, 1971N, 1975N, 1977N, 1978N, 1992N, 1993N, 1995N",23,23,NFL
San Francisco 49ersN,5,1,.833,7,"1981N, 1984N, 1988N, 1989N, 1994N, 2012N, 2019N",24,6,NFL
Green Bay PackersnN,4,1,.800,5,"1966n, 1967n, 1996N, 1997N, 2010N",8,8,NFL
New York GiantsN,4,1,.800,5,"1986N, 1990N, 2000N, 2007N, 2011N",7,7,NFL
Denver BroncosA,3,5,.375,8,"1977A, 1986A, 1987A, 1989A, 1997A, 1998A, 2013A, 2015A",3,3,NFL
Oakland/Los Angeles Raiders,3,2,.600,5,"1967a, 1976A, 1980A, 1983A, 2002A",36,16,NFL
Washington RedskinsN,3,2,.600,5,"1972N, 1982N, 1983N, 1987N, 1991N",27,27,NFL
Miami DolphinsA,2,3,.400,5,"1971A, 1972A, 1973A, 1982A, 1984A",46,35,NFL
Baltimore/Indianapolis ColtsnA[n 6],2,2,.500,4,"1968n, 1970A, 2006A, 2009A",12,9,NFL
Baltimore RavensA[n 7],2,0,1.000,2,"2000A, 2012A",6,6,NFL
St. Louis/Los Angeles RamsN,1,3,.250,4,"1979N, 1999N, 2001N, 2018N",19,0,NFL
Seattle SeahawksN[app 1],1,2,.333,3,"2005N, 2013N, 2014N",5,4,NFL
Philadelphia EaglesN,1,2,.333,3,"1980N, 2004N, 2017N",1,1,NFL
Kansas City ChiefsaA,1,1,.500,3,"1966a, 1969a, 2019A",50,50,NFL
Chicago BearsN,1,1,.500,2,"1985N, 2006N",33,12,NFL
New York Jetsa,1,0,1.000,1,1968a,51,51,NFL
Tampa Bay BuccaneersN[app 1],1,0,1.000,1,2002N,16,16,NFL
New Orleans SaintsN,1,0,1.000,1,2009N,9,9,NFL
Minnesota VikingsnN,0,4,.000,4,"1969n, 1973N, 1974N, 1976N",Never,43,NFL
Buffalo BillsA,0,4,.000,4,"1990A, 1991A, 1992A, 1993A",Never,25,NFL
Cincinnati BengalsA,0,2,.000,2,"1981A, 1988A",Never[app 2],31,NFL
Carolina PanthersN,0,2,.000,2,"2003N, 2015N",Never[app 3],3,NFL
Atlanta FalconsN,0,2,.000,2,"1998N, 2016N",Never,2,NFL
San Diego/Los Angeles ChargersA,0,1,.000,1,1994A,Never,24,NFL
Houston/Tennessee Oilers/TitansA,0,1,.000,1,1999A,Never,19,NFL
St. Louis/Phoenix/Arizona CardinalsN,0,1,.000,1,2008N,Never,10,NFL
Cleveland BrownsA[n 7][n 6],0,0,–,0,none,Never,Never,NFL
Detroit LionsN,0,0,–,0,none,Never,Never,NFL
Houston TexansA,0,0,–,0,none,Never[app 4],Never[app 4],NFL
Jacksonville JaguarsA,0,0,–,0,none,Never[app 3],Never[app 3],NFL
Team,Wins,Losses,Winningpercentage,Appearances,Seasons (champions in bold),Years sincelast win,Years sincelast app.,NFL
