Club,Champions,Winning seasons,League
Juventus,35,"1905, 1925–26, 1930–31, 1931–32, 1932–33, 1933–34, 1934–35, 1949–50, 1951–52, 1957–58, 1959–60, 1960–61, 1966–67, 1971–72, 1972–73, 1974–75, 1976–77, 1977–78, 1980–81, 1981–82, 1983–84, 1985–86, 1994–95, 1996–97, 1997–98, 2001–02, 2002–03, 2011–12, 2012–13, 2013–14, 2014–15, 2015–16, 2016–17, 2017–18, 2018–19",Serie A
Milan,18,"1901, 1906, 1907, 1950–51, 1954–55, 1956–57, 1958–59, 1961–62, 1967–68, 1978–79, 1987–88, 1991–92, 1992–93, 1993–94, 1995–96, 1998–99, 2003–04, 2010–11",Serie A
Internazionale,18,"1909–10, 1919–20, 1929–30, 1937–38, 1939–40, 1952–53, 1953–54, 1962–63, 1964–65, 1965–66, 1970–71, 1979–80, 1988–89, 2005–06, 2006–07, 2007–08, 2008–09, 2009–10",Serie A
Genoa,9,"1898, 1899, 1900, 1902, 1903, 1904, 1914–15, 1922–23, 1923–24",Serie A
Torino,7,"1927–28, 1942–43, 1945–46, 1946–47, 1947–48, 1948–49, 1975–76",Serie A
Bologna,7,"1924–25, 1928–29, 1935–36, 1936–37, 1938–39, 1940–41, 1963–64",Serie A
Pro Vercelli,7,"1908, 1909, 1910–11, 1911–12, 1912–13, 1920–21, 1921–22 (C.C.I.)",Serie A
Roma,3,"1941–42, 1982–83, 2000–01",Serie A
Lazio,2,"1973–74, 1999–2000",Serie A
Napoli,2,"1986–87, 1989–90",Serie A
Fiorentina,2,"1955–56, 1968–69",Serie A
Sampdoria,1,1990–91,Serie A
Hellas Verona,1,1984–85,Serie A
Cagliari,1,1969–70,Serie A
Novese,1,1921–22 (F.I.G.C.),Serie A
Casale,1,1913–14,Serie A
